Gene	Cytoband	(A) NON-SARIFA	(B) SARIFA	Log Ratio	p-Value	q-Value	Enriched in
ZDHHC2	8p22	3 (1.57%)	7 (7.87%)	-2.32	0.0134	0.667	(B) SARIFA
ZNF117	7q11.21	3 (1.57%)	7 (7.87%)	-2.32	0.0134	0.667	(B) SARIFA
C19ORF33	19q13.2	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
C1ORF174	1p36.32	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
CCDC77	12p13.33	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
CPA1	7q32.2	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
DMRTC2	19q13.2	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
FAM138D	12p13.33	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
GAU1	12p13.32	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
ITFG2-AS1	12p13.33	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
LINC00113	21q21.3	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
LINC00174	7q11.21	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
LINC00940	12p13.33	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
LINC00942	12p13.33	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
LPAR5	12p13.31	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
LYPD4	19q13.2	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
MDFIC	7q31.1-q31.2	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
RAB4B	19q13.2	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
RPL10L	14q21.2	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
SERTAD1	19q13.2	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
SHKBP1	19q13.2	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
TNFRSF25	1p36.31	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
WASH8P	12p13.33	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
WNT16	7q31.31	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
ZNF733P	7q11.21	1 (0.52%)	5 (5.62%)	-3.42	0.0134	0.667	(B) SARIFA
ALDH16A1	19q13.33	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
BECN1	17q21.31	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
BMS1	10q11.21	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
CCN6	6q21	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
CFAP45	1q23.2	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
CHGB	20p12.3	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
CLVS1	8q12.2-q12.3	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
FDPS	1q22	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
GMPPB	3p21.31	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
GTF3C2	2p23.3	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
LPIN1	2p25.1	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
LZTS3	20p13	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
NR2E1	6q21	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
ODR4	1q31.1	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
POLR2B	4q12	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
PTPN14	1q32.3-q41	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
RNF26	11q23.3	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
SLC16A10	6q21	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
SLC25A27	6p12.3	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
TGM3	20p13	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
THUMPD3	3p25.3	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
TNPO2	19p13.13	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
ZFP36L2	2p21	11 (5.76%)	0 (0.00%)	>10	0.0135	0.667	(A) NON-SARIFA
AKAP3	12p13.32	8 (4.19%)	11 (12.36%)	-1.56	0.0136	0.667	(B) SARIFA
ASNS	7q21.3	8 (4.19%)	11 (12.36%)	-1.56	0.0136	0.667	(B) SARIFA
TMEM130	7q22.1	8 (4.19%)	11 (12.36%)	-1.56	0.0136	0.667	(B) SARIFA
ASL	7q11.21	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
CRCP	7q11.21	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
FGF23	12p13.32	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
FKBP4	12p13.33	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
FUT10	8p12	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
KCTD7	7q11.21	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
LINC00320	21q21.1	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
LINC01687	21q21.1	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
LRTM2	12p13.33	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
RAD51AP1	12p13.32	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
REPIN1	7q36.1	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
RNU6-67P	13q31.1	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
SBDS	7q11.21	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
ST7-AS1	7q31.2	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
ST7-AS2	7q31.2	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
ST7-OT3	7q31.3	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
ST7-OT4	7q31.2	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
TERF2IP	16q23.1	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
TES	7q31.2	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
VKORC1L1	7q11.21	2 (1.05%)	6 (6.74%)	-2.69	0.0141	0.667	(B) SARIFA
ASPM	1q31.3	26 (13.61%)	4 (4.49%)	1.60	0.0142	0.667	(A) NON-SARIFA
TCHH	1q21.3	29 (15.18%)	5 (5.62%)	1.43	0.0148	0.667	(A) NON-SARIFA
DEFB134	8p23.1	11 (5.76%)	13 (14.61%)	-1.34	0.0149	0.667	(B) SARIFA
IRAG2	12p12.1	11 (5.76%)	13 (14.61%)	-1.34	0.0149	0.667	(B) SARIFA
ATP2B2	3p25.3	19 (9.95%)	2 (2.25%)	2.15	0.0152	0.667	(A) NON-SARIFA
OTOF	2p23.3	19 (9.95%)	2 (2.25%)	2.15	0.0152	0.667	(A) NON-SARIFA
PEX6	6p21.1	19 (9.95%)	2 (2.25%)	2.15	0.0152	0.667	(A) NON-SARIFA
SLIT3	5q34-q35.1	19 (9.95%)	2 (2.25%)	2.15	0.0152	0.667	(A) NON-SARIFA
ABCF1	6p21.33	15 (7.85%)	1 (1.12%)	2.81	0.0162	0.667	(A) NON-SARIFA
ABHD16A	6p21.33	15 (7.85%)	1 (1.12%)	2.81	0.0162	0.667	(A) NON-SARIFA
ARPIN	15q26.1	15 (7.85%)	1 (1.12%)	2.81	0.0162	0.667	(A) NON-SARIFA
IDH2	15q26.1	15 (7.85%)	1 (1.12%)	2.81	0.0162	0.667	(A) NON-SARIFA
MEX3A	1q22	15 (7.85%)	1 (1.12%)	2.81	0.0162	0.667	(A) NON-SARIFA
PLEKHH3	17q21.2	15 (7.85%)	1 (1.12%)	2.81	0.0162	0.667	(A) NON-SARIFA
PNISR	6q16.2	15 (7.85%)	1 (1.12%)	2.81	0.0162	0.667	(A) NON-SARIFA
SNX8	7p22.3	15 (7.85%)	1 (1.12%)	2.81	0.0162	0.667	(A) NON-SARIFA
SPATS1	6p21.1	15 (7.85%)	1 (1.12%)	2.81	0.0162	0.667	(A) NON-SARIFA
SV2B	15q26.1	15 (7.85%)	1 (1.12%)	2.81	0.0162	0.667	(A) NON-SARIFA
WDR93	15q26.1	15 (7.85%)	1 (1.12%)	2.81	0.0162	0.667	(A) NON-SARIFA
ZBTB24	6q21	15 (7.85%)	1 (1.12%)	2.81	0.0162	0.667	(A) NON-SARIFA
BRI3	7q21.3	7 (3.66%)	10 (11.24%)	-1.62	0.0164	0.667	(B) SARIFA
CPSF4	7q22.1	7 (3.66%)	10 (11.24%)	-1.62	0.0164	0.667	(B) SARIFA
KPNA7	7q22.1	7 (3.66%)	10 (11.24%)	-1.62	0.0164	0.667	(B) SARIFA
OCM2	7q21.3	7 (3.66%)	10 (11.24%)	-1.62	0.0164	0.667	(B) SARIFA
CDC5L	6p21.1	22 (11.52%)	3 (3.37%)	1.77	0.0176	0.667	(A) NON-SARIFA
FREM1	9p22.3	22 (11.52%)	3 (3.37%)	1.77	0.0176	0.667	(A) NON-SARIFA
PCDHA11	5q31.3	22 (11.52%)	3 (3.37%)	1.77	0.0176	0.667	(A) NON-SARIFA
ETFRF1	12p12.1	13 (6.81%)	14 (15.73%)	-1.21	0.0185	0.667	(B) SARIFA
DENND3	8q24.3	31 (16.23%)	6 (6.74%)	1.27	0.0195	0.667	(A) NON-SARIFA
NRXN1	2p16.3	28 (14.66%)	5 (5.62%)	1.38	0.0195	0.667	(A) NON-SARIFA
NEDD4L	18q21.31	6 (3.14%)	9 (10.11%)	-1.69	0.0196	0.667	(B) SARIFA
XKR5	8p23.1	6 (3.14%)	9 (10.11%)	-1.69	0.0196	0.667	(B) SARIFA
CSMD1	8p23.2	37 (19.37%)	28 (31.46%)	-0.70	0.0200	0.667	(B) SARIFA
ADGRG6	6q24.2	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
AKAP7	6q23.2	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
BPNT2	8q12.1	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
CAAP1	9p21.2	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
